STATION CODE,LOCATIONS,STATE,TEMP,DO,PH,CONDUCTIVITY,BOD,NITRATE,FECAL,Row_Id
1312,"GODAVARI AT JAYAKWADI DAM, AURNAGABAD,MAHARASHTRA",MAHARASHTRA,29.2,6.4,8.1,735,3.4,2,3,0
2177,GODAVARI RIVER NEAR SOMESHWAR TEMPLE.,MAHARASHTRA,24.5,6,8,270,3.1,2,72,1
2182,GODAVARI RIVER AT SAIKHEDA.,MAHARASHTRA,25.8,5.5,7.8,355,4.2,9,59,2
2179,"GODAVARI RIVER AT HANUMAN GHAT, NASHIK CITY.",MAHARASHTRA,24.8,5.5,7.8,371,5.6,3.55,90,3
2183,GODAVARI RIVER AT NANDUR- MADMESHWAR DAM.,MAHARASHTRA,25.7,5.7,7.9,294,3.2,2.69,45,4
2180,GODAVARI RIVER NEAR TAPOVAN.,MAHARASHTRA,24.8,5.2,7.7,475,10.3,1.9,122,6
1096,"GODAVARI AT PANCHAVATI AT RAMKUND,MAHARASHTRA",MAHARASHTRA,26.3,5.6,7.7,385,3.8,1,110,7
1211,"GODAVARI AT NASIK D/S, MAHARASHTRA",MAHARASHTRA,26.5,5.2,7.8,410,5.2,1.5,77,8
1095,"GODAVARI AT U/S OF GANGAPUR DAM,NASIK,MAHARASHTRA",MAHARASHTRA,26,6.5,7.8,178,2.5,1.99,22,9
2158,GODAVARI RIVER AT U/S OF PAITHAN AT PAITHAN INTAKE PUMP HOUSE AT JAYAKWADI ,MAHARASHTRA,29.5,6.4,8,834,4.7,1.8,2,11
2161,"GODAVARI RIVER AT JALNA INTAKE WATER PUMP HOUSE, SHAHABAD.",MAHARASHTRA,26.7,6.5,8,730,4,2.9,2,13
1209,"GODAVARI AT RAHER, MAHARASHTRA",MAHARASHTRA,29.7,6.4,8,656,3.6,1.8,3,15
2361,"GODAVARI  AT MANCHERIAL, NEAR RLY BDG B/C OF RALLAVAGU",ANDHRA PRADESH,31,6.9,9,526,12,0,130,18
2362,"GODAVARI AT RAMAGUNDAM D/S, NEAR FCI INTAKE WELL, KARIMNAGAR",ANDHRA PRADESH,30,5.7,8.5,575,13,0,240,19
2363,"GODAVARI AT GODAVARIKHANI, NEAR BATHING GHAT, KARIMNAGAR",ANDHRA PRADESH,30.5,3.2,8.8,803,15,0,500,20
2366,"GODAVARI AT KAMALPUR D/S AT M/S. AP RAYONS LTD. DISCHARGE POINT, WARANGAL",ANDHRA PRADESH,29.5,6.6,8.2,421,4,0,280,24
13,"GODAVARI AT MANCHERIAL, A.P.",ANDHRA PRADESH,29.5,4.1,9.1,518,16.5,0,240,25
2370,GODAVARI AT RAJAMUNDRY U/S OF NALLA CHANNEL,ANDHRA PRADESH,26.6,5.8,6.9,290,1.2,2.4,48,29
14,"GODAVARI AT POLAVARAM, A.P.",ANDHRA PRADESH,27,6.2,7.7,380,1.2,1.56,,30
1218,"GODAVARI AT RAJAHMUNDRY U/S, A.P.",ANDHRA PRADESH,26.6,6.1,7.4,480,1.3,1.98,3,31
2371,GODAVARI AT RAJAMUNDRY D/S OF NALLA CHANNEL,ANDHRA PRADESH,26.8,5.9,7,315,1.2,1.29,23,32
1484,"ALKANANDA B/C MANDAKINI AT RUDRA PRAYAG, UTTAR PRADESH",UTTARAKHAND,17.5,8.5,8.1,,0.7,0,,33
1485,"MANDAKINI B/C ALKALNADA AT RUDRAPRAYAG, UTTAR PRADESH",UTTARAKHAND,16.3,8.8,8.1,,0.7,0,,34
1486,"ALKANANDA A/C MANDAKINI AT RUDRAPRAYAG, UTTAR PRADESH",UTTARAKHAND,16.7,8.1,8,,1,0,,35
1487,"ALKANANDA B/C TO BHAGIRATHI AT DEVPRAYAG, UTTAR PRADESH",UTTARAKHAND,17.3,8.4,8.1,,1,0,,36
1488,"BHAGIRATHI B/C WITH ALAKNANDA AT DEVPRAYAG, U.P",UTTARAKHAND,17,8.7,8.1,,0.9,0,,37
1060,"GANGA AT RISHIKESH U/S, U.P",UTTARAKHAND,17.2,8.7,7.7,,1.1,0,,39
2725,GANGA RIVER AFTER CONFLUENCE OF RIVER SONG NEAR SATYANARAYAN TEMPLE D/S RAIWALA,UTTARAKHAND,21,6.9,7.8,,5.2,0,,40
2727,UPPER GANGA RIVER D/S ROORKEE,UTTARAKHAND,18.7,7.7,7.7,,2.1,0,,42
1062,"GANGA AT GARHMUKTESHWAR, U.P",UTTAR PRADESH,23,9,7.4,242,2.5,0.4,664,43
2488,"GANGA U/S, ANOOPSHAHAR",UTTAR PRADESH,23,8,7.4,310,2.7,0.1,4000,44
1145,"GANGA AT NARORA (BULANDSAHAR), U.P.",UTTAR PRADESH,23,7.8,7.4,320,3.1,0.1,410,46
2490,"GANGA AT KACHHLA GHAT, ALIGARH",UTTAR PRADESH,23,7.3,7.5,277,1.4,0,400,47
1063,"GANGA AT KANNAUJ U/S (RAJGHAT), U.P",UTTAR PRADESH,26.9,7.9,7.9,288,2.9,0.2,2200,48
1066,"GANGA AT KANNAUJ D/S, U.P",UTTAR PRADESH,26.9,7.3,7.9,276,3.2,0.3,2978,49
1146,"GANGA AT BITHOOR (KANPUR), U.P.",UTTAR PRADESH,27,7.9,8.2,290,3,0.2,2333,50
1067,"GANGA AT KANPUR U/S (RANIGHAT), U.P",UTTAR PRADESH,27,7.5,8.2,307,3.4,0.2,2600,51
1147,"GANGA AT DALMAU (RAI BAREILLY), U.P.",UTTAR PRADESH,22.1,8,7.8,213,3.7,0.8,5517,53
2498,"GANGA AT KALA KANKAR, RAEBARELI",UTTAR PRADESH,22.1,8.2,7.8,209,3.6,0.8,5158,54
2487,"GANGA AT KADAGHAT, ALLAHABAD",UTTAR PRADESH,24.5,8.4,8.3,382,3.9,1.8,18333,56
1049,"GANGA AT ALLAHABAD D/S (SANGAM), U.P.",UTTAR PRADESH,24.4,8.5,8.3,404,4.2,2,19500,57
2485,"GANGA U/S, VINDHYACHAL, MIRZAPUR",UTTAR PRADESH,22.4,8.4,7.7,290,2.5,0.4,1567,58
2486,"GANGA D/S, MIRZAPUR",UTTAR PRADESH,23.8,8.4,7.6,299,2.6,0.5,2146,59
1070,"GANGA AT VARANASI U/S (ASSIGHAT), U.P",UTTAR PRADESH,22.5,8.3,8.2,338,2.9,0,2617,60
1071,"GANGA AT VARANASI D/S (MALVIYA BRIDGE), U.P",UTTAR PRADESH,22.5,7.8,8.5,385,4.5,0,31167,61
1073,"GANGA AT TRIGHAT (GHAZIPUR), U.P",UTTAR PRADESH,22.7,7.7,8.5,369,3.9,0,17500,62
1074,"GANGA AT BUXAR,BIHAR",BIHAR,24.5,8.4,8.1,371,2.5,0,1190,64
2551,"GANGA AT BUXAR, RAMREKHAGHAT",BIHAR,24.9,8.1,8.1,376,2.7,0,3183,65
1077,"GANGA AT KHURJI, PATNA U/S, BIHAR",BIHAR,24.5,8.1,8.1,376,2.3,0,1600,66
2556,"GANGA AT INDRAPURI, DEHRI ON SONE",BIHAR,22.3,8.2,8.1,270,2.2,0,660,67
2564,"GANGA  AT THE CONFLUENCE OF SONE RIVER DORIGANJ, CHAPRA",BIHAR,23.8,8.3,8.2,311,2.5,0,1483,68
2552,GANGA DARBHANGA GHAT AT PATNA,BIHAR,24.7,7.8,7.9,402,2.8,0,6527,69
1079,"GANGA AT PATNA D/S (GANGA BRIDGE),BIHAR",BIHAR,24.9,7.9,8,402,2.7,0,3782,70
2555,"GANGA AT PUNPUN, PATNA",BIHAR,24.7,7.3,7.7,452,2.5,0,1382,71
2553,GANGA AT FATUHA,BIHAR,24.4,8.1,8,386,2.3,0,1846,72
1817,GANGA AT MOKAMA (U/S),BIHAR,24.1,7.8,7.9,277,2.3,0,1251,73
1818,GANGA AT MUNGER,BIHAR,23.9,7.6,7.8,268,2.4,0,1622,75
2554,"GANGA AT SULTANGANJ, BHAGALPUR",BIHAR,24,7.7,7.8,280,2.5,0,1560,76
3114,GANGA RIVER NEAR DANAPUR (NEAR PIPAPUL),BIHAR,24.1,8.1,8.1,375,2.4,0,1198,80
3118,GANGA AT U/S BHAGALPUR,BIHAR,23.9,7.7,7.9,262,2.4,0,1290,84
3123,GANGA RIVER AT BARAHIA,BIHAR,22.5,7.7,7.9,292,2.3,0,1048,86
2511,"NABADIP ON GANGA,GHOSHPARA NEAR MONIPURGHAT",WEST BENGAL,27.4,7.4,7.9,353,3.3,0.7,143275,88
1054,"GANGA AT PALTA, WEST BENGAL",WEST BENGAL,27,6.7,7.8,315,3.4,0.9,106417,90
1472,"GANGA AT SERAMPORE, WEST BENGAL",WEST BENGAL,27.3,6,7.9,323,3.1,0.7,153917,91
1053,"GANGA AT DAKSHMINESWAR, WEST BENGAL",WEST BENGAL,26.5,6.7,8,319,4.2,0.7,285833,92
1470,"GANGA AT GARDEN REACH, WEST BENGAL",WEST BENGAL,26.4,6.1,8.1,322,3.2,0.7,310417,94
1052,"GANGA AT ULUBERIA, WEST BENGAL",WEST BENGAL,27.1,6.3,8.1,368,3.4,0.6,31417,95
1469,"GANGA AT DIAMOND HARBOUR, WEST BENGAL",WEST BENGAL,26.4,6.9,8,1900,3.7,0.8,41750,96
1030,"BRAHAMPUTRA AT DIBRUGARH, ASSAM",ASSAM,21.8,7.7,7.2,256,1.4,1.5,2128,98
1526,"BRAHMPUTRA RIVER AT DHENUKHAPAHAR, ASSAM",ASSAM,24.3,7.5,7,298,1.3,1.7,12418,100
1031,"BRAHAMPUTRA AT PANDU, ASSAM",ASSAM,25.4,7.9,7.2,236,1.4,2.3,5449,101
1299,"BRAHAMPUTRA AT JOGIJHOGA NEAR BRIDGE, ASSAM",ASSAM,27.7,6,7.3,295,1.1,1.9,444,102
2069,"BRAHMPUTRA RIVER NEAR WATER INTAKE POINT AT KACHARIGHAT, PANBAZAR, GUWAHATI, ASSAM",ASSAM,27,8.1,7.6,210,0.9,1.2,3388,103
2067,"BRAHMPUTRA RIVER AT SUALKUCHI, DIST. KAMRUP, ASSAM",ASSAM,27.3,7.1,7.2,289,1.6,1.4,1208,105
1194,"KRISHNA AT MAHABALESHWAR DHOM DAM NEAR KOINA DAM,MAHARASHTRA",MAHARASHTRA,23.1,6.8,8.1,160,3.1,2.9,15,107
1153,"KRISHNA AT RAJAPUR WEIR, MAHARASHTRA",MAHARASHTRA,24.1,6.8,7.4,449,2.9,1.7,,108
1906,KRISHNA D/S OF ISLAMPUR,MAHARASHTRA,25,6.7,7.6,441,2.9,1.5,2,110
1310,"KRISHNA AT KURUNDWAD IN KOLHAPUR,MAHARASHTRA",MAHARASHTRA,24,7,7.5,400,2.8,1.2,4,112
2187,KRISHNA RIVER AT KSHETRA MAHULI.,MAHARASHTRA,20.8,6.1,8.4,551,5.6,2.3,183,113
2190,KRISHNA RIVER AT WAI.,MAHARASHTRA,22.7,6.1,8.2,413,5.5,1.8,171,115
1182,"KRISHNA AT U/S OF UGARKHURD BARRAGE,KARNATAKA",KARNATAKA,29,7.5,8,685,2.1,2.3,780,116
1181,"KRISHNA AT D/S OF NARAYANPURA DAM,KARNATAKA",KARNATAKA,29.3,5.9,8.3,521,1.5,0.4,518,118
1170,"KRISHNA AT D/S OF DEVASAGAR BDG.,KARNATAKA",KARNATAKA,29.4,7.2,8.3,916,1.9,0.2,792,119
1028,"KRISHNA AT TINTINI BRIDGE, KARNATAKA",KARNATAKA,29.5,7.1,8.2,718,1.9,0.2,538,120
2781,"KRISHNA AT D/S OF ALAMATTI DAM, KARNATAKA",KARNATAKA,29.2,6.2,8.3,513,1.4,0.5,678,121
1784,"THANGADI , MAHABOOBNAGAR DIST., A.P",ANDHRA PRADESH,17.6,5.3,8.1,874,10.5,0,,122
1465,"KRISHNA AT WADAPALLY AFTER CONFL. WITH R. MUSI, A.P.(SHIFTED FROM 1220)",ANDHRA PRADESH,28.4,5.7,8.7,1072,1.6,1.2,11,125
1787,"AMARAVATI , GUNTUR DIST., A.P",ANDHRA PRADESH,27.6,7,7.8,669,0.6,0.4,2,127
25,"KRISHNA AT VIJAYWADA, A.P.",ANDHRA PRADESH,25.8,7.2,8,669,0.7,0.7,2,128
1782,"HAMSALA DEEVI , GUNTUR DIST, A.P",ANDHRA PRADESH,26,5.5,7.6,14804,0.7,0.7,2,130
1490,"YAMUNA AT U/S DAK PATTHAR, UTTAR PARDESH",UTTARAKHAND,18.7,7.7,8.2,,1.3,0,1100,132
1553,"YAMUNA , U/S PAONTA SAHIB, H.P",HIMACHAL PRADESH,22.3,7.7,7.5,465,1.2,0.2,9,133
1554,"YAMUNA , D/S PAONTA SAHIB, H.P",HIMACHAL PRADESH,23.7,7.5,7.8,331,1.5,0.2,11,134
1121,"YAMUNA AT NIZAMUDDIN, DELHI",DELHI,,1.2,7.5,,17.2,9,,136
1375,"YAMUNA AT OKHLA BRIDGE (INLET OF AGRA CANAL), DELHI",DELHI,,1.4,7.6,,17.3,9.2,,137
2494,"YAMUNA AT VISHRAMGHAT, MATHURA",UTTAR PRADESH,25,3.7,7.5,273,9.2,0,53546,139
1069,"YAMUNA AT ALLAHABAD D/S (BALUA GHAT), U.P",UTTAR PRADESH,24.8,8.1,8.2,522,2.4,1.8,2875,141
1812,"YAMUNA AT OKHLA AFTER MEETING OF SHAHDARA DRAIN, DELHI",DELHI,,1.4,7.5,,38.2,,,142
1893,YAGACHI RIVER NEAR PUMPING STATION. HASSAN CITY,KARNATAKA,27.4,5.4,7.7,394,1,0.1,913,143
1199,HEMAVATI AT D/S OF HOLENARASIPURA TOWN AT RAMADEVALA WEIR,KARNATAKA,27.7,5.8,7.7,298,1,0.1,1073,144
1200,"SHIMSHA AT D/S OF HIGHWAY BRIDGE, YEDIYAR, KARNATAKA",KARNATAKA,28.7,7.1,7.9,416,3,1.3,,145
1166,"SHIMSHA AT D/S OF BRIDGE, HALAGUR, KARNATAKA",KARNATAKA,26.7,6.3,8.2,573,2.9,0.6,716,146
1165,"ARKAVATHI AT D/S OF KANAKAPURA TOWN, KARNATAKA",KARNATAKA,27,6.9,7.3,1560,7.3,9.1,56,147
2772,"LAKSHMANTIRTHA  AT D/S OF KATTEMALAVADI, KARNATAKA",KARNATAKA,26.2,5.7,7.9,370,2.2,0.4,430,150
1207,"KABBANI AT MUTHANKARA, KERALA",KERALA,26.9,6.7,7.7,78,0.4,0.8,58,151
1197,"KABBANI AT SARAGUR VILLAGE D/S, KARNATAKA",KARNATAKA,25.3,7.2,7.5,219,1.1,0.3,353,152
1445,"KABBANI AT WATER INTAKE OF KIADB AT NANJANGUD,KARNATAKA",KARNATAKA,25.7,7.2,7.9,266,1.3,0.3,308,154
2775,"KABINI AT BATHING GHAT, NANJANAGUD, KARNATAKA",KARNATAKA,25.7,5.5,7.7,282,2.3,0.3,647,155
1208,"BHAVANI AT ELACHIVAZHY, KERALA",KERALA,24.7,7.4,7.7,138,0.7,0.2,197,156
1321,"BHAVANI AT BHAVANI SAGAR, TAMILNADU",TAMILNADU,26.8,7.2,7.9,161,1.9,0.2,15109,159
3021,"D/S OF KALINGARAYAN CANAL (B10), ERODE, TAMILNADU",TAMILNADU,27.2,6.4,8.1,481,0.9,0.2,22473,163
2620,ASHWANI AT U/S YASHWANT NAGAR,HIMACHAL PRADESH,17.2,7.9,7.5,295,0.6,1.5,6,165
2626,BATTA AT U/S PAONTA,HIMACHAL PRADESH,23.3,7.7,7.7,302,1.1,0.3,11,166
2627,BATTA BEFORE CONFLUENCE TO YAMUNA,HIMACHAL PRADESH,23.9,7.5,7.7,348,1.4,0.3,9,167
2621,GIRI AT D/S YASHWANT NAGAR,HIMACHAL PRADESH,17.4,7.9,7.3,242,0.7,1.5,5,168
2622,GIRI AT U/S CCI MINES,HIMACHAL PRADESH,21.9,8.1,7.6,508,1.1,0.4,8,169
2623,GIRI D/S SATAUN,HIMACHAL PRADESH,22.8,7.9,7.6,467,1.4,0.3,8,170
1357,"HINDON AT SAHARANPUR D/S, U.P.",UTTAR PRADESH,20.1,0.8,7.4,586,24,0,5692,176
1143,"TONS AT CHAKGHAT, M.P.",MADHYA PRADESH,26.8,6.4,7.6,576,2.8,2,20,177
2108,"BETWA D/S, BEENA",MADHYA PRADESH,26.9,7.4,8.3,371,0.7,0,,179
1735,"BETWA AT GOVIND SAGAR, U.P",UTTAR PRADESH,27.5,6.7,8.5,218,3,0,3150,180
1356,"BETWA BEFORE CONF. YAMUNA AT HAMIRPUR, U.P.",UTTAR PRADESH,24,7.1,8.1,386,3.2,0,3580,181
1418,"CHAMBAL AT GANDHI SAGAR DAM, RAMPURA, MP",MADHYA PRADESH,27,7.2,7.9,338,1.9,1.2,,185
1289,"CHAMBAL AT KOTA D/S (2 KM. FROM CITY),RAJASTHAN",RAJASTHAN,26.6,5.9,8.4,546,2,0.6,13,187
1413,"CHAMBAL AT RAMESHWARGHAT NR. SAWAIMADHOPUR, RAJASTHAN",RAJASTHAN,24.7,5.3,8.2,608,1.3,0.7,4,188
1609,"CHAMBAL AT DHOLPUR, M.P",MADHYA PRADESH,24.6,8.2,7.5,696,2,0.9,,189
2954,"PARVATI BEFORE MEETING RIVER CHAMBAL AT KHATOLI, KOTA, RAJASTHAN",RAJASTHAN,25.8,5.2,8.2,556,1,0.6,4,192
1367,KHAN AT KABIT KHEDI (NEAR INDORE) M.P.,MADHYA PRADESH,28,0,7.3,1507,40,45.5,41,194
1369,"KSHIPRA AT RAMGHAT AT UJJAIN, M.P.",MADHYA PRADESH,27,6.9,8,974,,1.6,,195
1370,"KSHIPRA AT TRIVENISANGAM (1 KM. D/S OF SANGAM), M.P.",MADHYA PRADESH,26.8,7,7.8,854,,1.9,,196
1468,"KSHIPRA AT SIDDHAWAT (D/S) OF UJJAIN.,M.P.",MADHYA PRADESH,26.8,6.5,7.9,952,,1.9,,197
2953,"KALI SINDH AT ANICUT OF M/S CFCL GADEPAN, KOTA, RAJASTHAN",RAJASTHAN,25.6,5.4,8,489,0.9,0.6,4,198
2956,"KALI SINDH AT BAROD ROAD BRIDGE, KOTA, RAJASTHAN",RAJASTHAN,26.1,5.2,8.3,587,0.9,0.5,4,199
1608,"SINDH AT DABRA, M.P",MADHYA PRADESH,24.4,8.1,7.5,708,1.8,0.8,,200
2117,"BICHIA, BRIDGE GOVINDGARH ROAD",MADHYA PRADESH,26.3,5.4,7.6,607,5.2,3.3,48,201
1433,"SANKH AT TIGRA RESERVOIR, M.P.",MADHYA PRADESH,23,8.4,7.5,811,2.1,0.9,,202
3327,"SONE AT AMLAI, 100 METRE D/S AFTER MIXING OF ATPS EFFLUENT, REWA",MADHYA PRADESH,26.8,6.6,7.8,865,3.9,1.8,,204
2950,"BANAS AT DHANARI DAM, NEAR SWAROOPGANJ, SIROHI, RAJASTHAN",RAJASTHAN,23.9,6.2,7.7,404,1.2,0.5,4,205
1947,TEESTA AT SILIGURI,WEST BENGAL,20.8,7.5,7.4,86,2,0.5,2833,210
2229,"KUNDLI RIVER AT KUNDLI/ SAPAKHOWA, SADIA.",ASSAM,24.8,6.5,7.3,195,1.7,0.8,1258,211
2231,DIKHOW RIVER AT DIKHOW BRIDGE SIVASAGAR,ASSAM,25.7,7.1,7.1,287,1.3,1.4,423,212
2233,"BOGINADI NEAR BRIDGE NH-52, LAKHIMPUR",ASSAM,24,7.7,6.6,177,1.3,1.6,875,214
2234,RANGA NADI D/S OF HYDEL PROJECT,ASSAM,25,7.7,6.9,157,1.2,1.3,465,215
2236,"KAPILI RIVER AT DHARMTUL BRIDGE, NH-31, NAGAON",ASSAM,25.5,7.3,6.5,138,1.7,0.6,175,216
2238,BEKI RIVER AT NH-37 CROSSING AT BARPETA ROAD,ASSAM,26.9,5.8,7.1,220,1.3,1.6,228,217
2240,BARAK RIVER AT D/S OF SILCHAR,ASSAM,17.5,6.2,6.8,138,1.6,1.3,1255,219
2242,KUSHIARA RIVER AT KARIMGANJ,ASSAM,13.3,4.9,6.8,177,1.7,1.8,638,221
2523,"KAROLA, D/S OF JALPAIGURI, NEAR MIN BHAWAN",WEST BENGAL,27.3,6.7,7.4,166,3,0.3,169867,222
2524,"KALJANI D/S OF ALIPURDWAR, MUNICIPALITY DISCHARGE POINT ",WEST BENGAL,28.8,7.6,7.6,141,2.4,0.3,4708,223
2724,"SUSWA RIVER AT MOTHRAWALA, DEHRADUN",UTTARAKHAND,23.4,3,7.6,,33.2,0,,225
2734,BHALLA RIVER U/S KASHIPUR,UTTARAKHAND,22.6,2.8,7.1,378,18.4,0,,227
2735,BHALLA RIVER AT LOHIA BRIDGE D/S KASHIPUR,UTTARAKHAND,23.6,0.8,6.8,550,37.5,0,,228
2733,DHELA RIVER D/S AT THAKURDWARA ALIGANJ ROAD,UTTARAKHAND,23.7,1.8,7.3,801,30.4,0,,230
2731,KOSI RIVER AT KASHIPUR BAJPUR ROAD BRIDGE,UTTARAKHAND,22.3,7.9,7.1,386,6.4,0,,231
2497,"KALI EAST AT KHARKHODA-PARIKSHIT GARH ROAD, VILL. KOL, MEERUT",UTTAR PRADESH,22.8,,7.5,1859,72.1,7.3,243500,233
1065,"KALINADI AT KANNAUJ (BEFORE CONF.),U.P",UTTAR PRADESH,26.9,6.2,7.9,316,5.1,0.3,2956,234
2482,"VARUNA AT RAMESHWAR, VARANASI",UTTAR PRADESH,22.9,8,8,305,2.6,0,4942,235
1361,"SAI AT UNNAO AFTER DRAIN OUTFALL, U.P.",UTTAR PRADESH,26.8,7.3,13.2,237,3.7,0.1,2164,237
2484,"SAI AT JALALPUR, JAUNPUR",UTTAR PRADESH,23,7.8,8.2,298,2.9,0,6300,238
1350,"GOMTI AT SITAPUR U/S AT WATER INTAKE, U.P.",UTTAR PRADESH,25.8,8.7,8.1,392,2.7,1.3,631,239
1351,"GOMTI AT LUCKNOW U/S AT WATER INTAKE POINT,U.P.",UTTAR PRADESH,25.9,8,8,454,3.3,1.6,2120,240
1352,"GOMTI AT LUCKNOW D/S, U.P.",UTTAR PRADESH,25,2.6,7.6,568,9.5,4,82800,241
1353,"GOMTI AT JAUNPUR D/S, U.P.",UTTAR PRADESH,22.7,7.7,8.2,323,3.3,0,11083,242
1072,"GOMTI AT VARANASI, U.P",UTTAR PRADESH,22.9,7.8,8.1,306,3,0,6917,243
2491,"RAPTI AT RAJGHAT, GORAKHPUR",UTTAR PRADESH,20.8,7.5,8,478,3.4,0.4,593,244
1363,"RAPTI AFTER CONFL. OF R. HONIN NR. DOMINGARH RLY BRIDGE, GORAKHPUR, U.P.",UTTAR PRADESH,21,7.1,8.1,438,2.8,0.3,232,245
1354,"SARYU AT AYODHYA AT MAIN BATHING GHAT, U.P.",UTTAR PRADESH,20.3,9.2,7.7,187,2.7,0.7,4525,246
1355,"GHAGHARA AT DEORIA D/S, U.P.",UTTAR PRADESH,23,7.7,8.1,488,2.9,0.3,203,247
1076,"GHAGHARA NEAR CHAPRA, BIHAR",BIHAR,23.2,8.6,8.2,260,2.2,0,1115,249
1359,"RIHAND AT RENUKUT U/S, U.P.",UTTAR PRADESH,24.5,7.6,8.1,286,2.4,0.6,1287,250
1360,"RIHAND AT RENUKUT D/S, U.P.",UTTAR PRADESH,24.5,7.9,8.1,281,2.3,0.6,1525,251
1075,"SONE AT KOELWAR, BIHAR",BIHAR,22.6,8.1,8.1,232,1.9,0,697,252
3127,SONE RIVER AT BAHIYARA,BIHAR,23,8.3,8,252,2.2,0,483,254
3128,SONE RIVER AT NASIRIGANJ DAM,BIHAR,23.2,7.7,7.8,298,2.2,0,848,255
1078,"GANDAK AT SONEPUR, PATNA (BEFORE CONFL.),BIHAR",BIHAR,22.3,8.6,8.1,238,2,0,581,256
2568,"GANDAK AT REWAGHAT, MUJAFFARPUR",BIHAR,23,8.4,8.1,247,1.8,0,527,257
2570,GANDAK ATSAMASTIPUR ROAD BRIDGE,BIHAR,23.2,7.9,8,302,2.1,0,897,258
3124,GANDAK RIVER U/S ROAD BRIDGE MUZAFFARPUR (NH),BIHAR,23.1,16.3,8.1,269,2,0,769,259
2575,"SIKRAHNA RIVER AT LAL PARSE, BITTIAH",BIHAR,22.4,6.5,7.5,319,3.5,0,1900,261
1820,SIKRANA AT CHANPATIYA,BIHAR,23.3,4.2,7.3,418,7.1,0,2460,262
3134,SIKRAHNA RIVER AT LAURIA - HARINAGAR ROAD BRIDGE,BIHAR,25.6,4.3,7.1,450,30,0,1690,263
2558,HARBORA RIVER AT NARKATIAGANJ,BIHAR,24.1,4.4,7.2,370,4.7,0,1700,265
2567,KAMALA RIVER AT BENIPATTI (MADHUBANI),BIHAR,18.5,8.6,8.1,338,2.1,0,500,267
